Frame,Cluster
1,4
2,1
3,4
4,5
5,5
6,5
7,5
8,3
9,5
10,5
11,3
12,4
13,3
14,3
15,5
16,4
17,5
18,4
19,2
20,2
21,2
22,5
23,3
24,5
25,3
26,5
27,5
28,5
29,5
30,1
31,0
32,1
33,2
34,5
35,4
36,5
37,2
38,3
39,5
40,1
41,2
42,2
43,2
44,3
45,3
46,4
47,4
48,3
49,3
50,3
51,4
52,4
53,4
54,3
55,3
56,3
57,1
58,1
59,2
60,3
61,1
62,5
63,4
64,4
65,5
66,4
67,3
68,1
69,4
70,4
71,3
72,3
73,1
74,1
75,5
76,4
77,4
78,4
79,4
80,2
81,2
82,4
83,4
84,1
85,5
86,4
87,3
88,5
89,3
90,3
91,4
92,5
93,3
94,5
95,5
96,5
97,3
98,5
99,3
100,3
101,0
102,0
103,4
104,5
105,2
106,5
107,5
108,5
109,2
110,2
111,3
112,2
113,5
114,5
115,1
116,1
117,0
118,4
119,2
120,1
121,4
122,2
123,1
124,5
125,3
126,1
127,2
128,4
129,5
130,5
131,2
132,3
133,3
134,5
135,3
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,3
144,3
145,3
146,2
147,2
148,1
149,1
150,3
151,3
152,2
153,2
154,0
155,0
156,0
157,0
158,2
159,2
160,2
161,2
162,2
163,1
164,0
165,0
166,5
167,0
168,5
169,2
170,0
171,0
172,2
173,0
174,0
175,0
176,2
177,0
178,0
179,4
180,4
181,5
182,4
183,4
184,4
185,4
186,1
187,3
188,1
189,0
190,0
191,0
192,0
193,4
194,0
195,2
196,0
197,0
198,2
199,4
200,4
201,2
202,0
203,2
204,2
205,0
206,0
207,2
208,0
209,0
210,0
211,0
212,0
213,4
214,2
215,1
216,4
217,4
218,2
219,2
220,4
221,2
222,2
223,2
224,4
225,4
226,2
227,0
228,2
229,3
230,2
231,2
232,3
233,4
234,2
235,2
236,4
237,4
238,0
239,2
240,0
241,2
242,5
243,0
244,0
245,0
246,0
247,0
248,2
249,0
250,0
251,0
252,2
253,2
254,4
255,0
256,0
257,0
258,2
259,5
260,1
261,2
262,3
263,3
264,2
265,1
266,5
267,2
268,5
269,1
270,1
271,2
272,5
273,2
274,4
275,0
276,4
277,2
278,2
279,5
280,1
281,2
282,0
283,0
284,0
285,1
286,1
287,1
288,1
289,3
290,2
291,2
292,4
293,4
294,2
295,2
296,4
297,4
298,3
299,2
300,3
301,4
302,4
303,4
304,2
305,2
306,1
307,3
308,2
309,2
310,2
311,4
312,3
313,2
314,2
315,3
316,1
317,2
318,2
319,2
320,5
321,2
322,2
323,2
324,3
325,4
326,2
327,4
328,2
329,4
330,2
331,3
332,4
333,4
334,5
335,0
336,3
337,3
338,4
339,3
340,4
341,3
342,3
343,4
344,0
345,3
346,4
347,4
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,4
356,4
357,3
358,3
359,2
360,2
361,4
362,2
363,4
364,3
365,3
366,3
367,3
368,2
369,2
370,0
371,3
372,3
373,3
374,3
375,4
376,4
377,4
378,1
379,4
380,2
381,4
382,4
383,2
384,4
385,2
386,4
387,4
388,1
389,3
390,2
391,1
392,4
393,4
394,3
395,1
396,3
397,2
398,3
399,1
400,2
401,3
402,3
403,3
404,3
405,1
406,2
407,3
408,3
409,3
410,5
411,2
412,3
413,3
414,3
415,3
416,3
417,3
418,1
419,2
420,2
421,4
422,3
423,4
424,2
425,4
426,1
427,1
428,1
429,3
430,3
431,3
432,1
433,3
434,3
435,5
436,3
437,2
438,3
439,3
440,2
441,2
442,3
443,3
444,3
445,3
446,3
447,4
448,3
449,2
450,1
451,3
452,2
453,1
454,2
455,3
456,4
457,3
458,4
459,3
460,4
461,3
462,1
463,3
464,3
465,4
466,2
467,2
468,1
469,4
470,0
471,2
472,2
473,2
474,3
475,3
476,0
477,0
478,2
479,2
480,3
481,1
482,3
483,3
484,1
485,4
486,1
487,1
488,3
489,3
490,1
491,1
492,3
493,3
494,1
495,1
496,3
497,2
498,1
499,3
500,2
501,1
502,3
503,2
504,3
505,1
506,1
507,1
508,4
509,1
510,1
511,3
512,1
513,1
514,3
515,1
516,3
517,3
518,3
519,2
520,1
521,1
522,2
523,3
524,3
525,3
526,3
527,4
528,3
529,4
530,4
531,4
532,4
533,3
534,2
535,2
536,5
537,2
538,3
539,3
540,3
541,3
542,3
543,3
544,1
545,1
546,3
547,1
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,2
556,2
557,1
558,1
559,1
